race_id,race_name,category,date_label,month,year
549,Turul Romaniei,2.2,09.09-13.09,9,2026
23,Vuelta a España,2.UWT,22.08-13.09,9,2026
213,ZLM Tour,2.1,02.09-06.09,9,2026
159,Binche-Chimay-Binche,1.1,06.10,10,2026
125,Cholet Agglo Tour,1.1,03.10,10,2026
154,Chrono des Nations,1.1,18.10,10,2026
262,Coppa Agostoni,1.1,04.10,10,2026
196,Coppa Bernocchi,1.Pro,05.10,10,2026
21437,Coppa Citta' di San Daniele,1.2,06.10,10,2026
183,Giro del Veneto,1.Pro,14.10,10,2026
29,Giro dell'Emilia,1.Pro,03.10,10,2026
61,Gran Piemonte,1.Pro,08.10,10,2026
8499,Hong Kong Cyclothon,1.1,11.10,10,2026
24,Il Lombardia,1.UWT,10.10,10,2026
95,Japan Cup,1.Pro,18.10,10,2026
158,Münsterland Giro,1.Pro,03.10,10,2026
24921,NIBC Tour of Holland,2.1,13.10-18.10,10,2026
8523,Oita Urban Classic,1.2,04.10,10,2026
28,Paris - Tours,1.Pro,11.10,10,2026
18945,Tour de Kyushu,2.1,10.10-12.10,10,2026
128,Tour de Langkawi,2.Pro,27.09-04.10,10,2026
94,Tour de Vendée,1.1,04.10,10,2026
7591,Tour of Guangxi,2.UWT,13.10-18.10,10,2026
190,Tre Valli Varesine,1.Pro,06.10,10,2026
27048,Trofeo Tessile & Moda - Valdengo Oropa,1.1,11.10,10,2026
15208,Veneto Classic,1.Pro,18.10,10,2026
27049,Volta Ciclística de Santa Catarina,2.2,07.10-11.10,10,2026
